"","term","sat","tothrs","cumgpa","major","season","frstsem","crsgpa","crspop","verbmath","trmgpa","hssize","race","hsrank","sport","id","spring","female","black","white","ctrmgpa","ctothrs","ccrsgpa","ccrspop","cseason","hsperc"
"1",8808,920,31,2.25,505,0,0,2.646399974823,1006.5,0.483869999647141,1.5,10,1,4,"tennis",22,0,1,0,0,NA,NA,NA,NA,NA,40
"2",8901,920,43,2.03999996185303,505,1,0,2.50769996643066,944.25,0.483869999647141,2.25,10,1,4,"tennis",22,1,1,0,0,0.75,12,-0.138700008392334,-62.25,1,40
"3",8808,780,28,2.02999997138977,601,0,0,2.86789989471436,920,0.813950002193451,2.20000004768372,123,6,102,"baseball",35,0,0,0,1,NA,NA,NA,NA,NA,82.9268264770508
"4",8901,780,43,2.08999991416931,531,1,0,2.88389992713928,846.75,0.813950002193451,1.60000002384186,123,6,102,"baseball",35,1,0,0,1,-0.600000023841858,15,0.0160000324249268,-73.25,1,82.9268264770508
"5",8808,810,0,0,601,0,1,2.76340007781982,1098.17004394531,0.883719980716705,1.60000002384186,119,6,42,"baseball",36,0,0,0,1,NA,NA,NA,NA,NA,35.294116973877
"6",8901,810,14,1.77999997138977,601,1,0,2.55999994277954,1170.5,0.883719980716705,1.28999996185303,119,6,42,"baseball",36,1,0,0,1,-0.310000061988831,14,-0.203400135040283,72.3299560546875,1,35.294116973877
"7",8808,1080,0,0,402,1,1,2.51489996910095,1516,0.800000011920929,2,318,6,31,"soccer",156,0,0,0,1,NA,NA,NA,NA,NA,9.74842739105225
"8",8901,1080,17,2,402,0,0,2.47639989852905,1195.80004882812,0.800000011920929,2.73000001907349,318,6,31,"soccer",156,1,0,0,1,0.730000019073486,17,-0.0385000705718994,-320.199951171875,-1,9.74842739105225
"9",8808,960,91,2.34999990463257,531,1,0,2.85349988937378,363.600006103516,1,2.79999995231628,383,6,66,"wrestlin",246,0,0,0,1,NA,NA,NA,NA,NA,17.2323760986328
"10",8901,960,106,2.41000008583069,531,0,0,2.74140000343323,270.799987792969,1,2.59999990463257,383,6,66,"wrestlin",246,1,0,0,1,-0.200000047683716,15,-0.112099885940552,-92.8000183105469,-1,17.2323760986328
"11",8808,790,0,0,350,1,1,2.41370010375977,1398,1.13513994216919,1.28999996185303,44,2,27,"soccer",264,0,0,1,0,NA,NA,NA,NA,NA,61.3636360168457
"12",8901,790,12,1.1599999666214,350,0,0,2.59179997444153,736.830017089844,1.13513994216919,0.25,44,2,27,"soccer",264,1,0,1,0,-1.03999996185303,12,0.178099870681763,-661.169982910156,-1,61.3636360168457
"13",8808,820,25,2.11999988555908,331,1,0,2.62969994544983,1284.59997558594,0.78260999917984,1.5,344,2,36,"bball",326,0,1,1,0,NA,NA,NA,NA,NA,10.4651165008545
"14",8901,820,41,1.87000000476837,331,1,0,2.92890000343323,504,0.78260999917984,2,344,2,36,"bball",326,1,1,1,0,0.5,16,0.299200057983398,-780.599975585938,0,10.4651165008545
"15",8808,820,30,1.92999994754791,531,1,0,2.61139988899231,1009,0.906979978084564,2.5,228,6,155,"soccer",410,0,0,0,1,NA,NA,NA,NA,NA,67.9824523925781
"16",8901,820,42,2.08999991416931,531,0,0,2.70919990539551,686,0.906979978084564,1.60000002384186,228,6,155,"soccer",410,1,0,0,1,-0.899999976158142,12,0.0978000164031982,-323,-1,67.9824523925781
"17",8808,1040,0,0,531,1,1,2.39829993247986,1261.17004394531,0.925930023193359,2.1800000667572,91,6,8,"swim",412,0,0,0,1,NA,NA,NA,NA,NA,8.79120922088623
"18",8901,1040,17,2.17000007629395,531,1,0,2.56430006027222,1147.67004394531,0.925930023193359,2.13000011444092,91,6,8,"swim",412,1,0,0,1,-0.0499999523162842,17,0.166000127792358,-113.5,0,8.79120922088623
