"","id","year","wage","educ","exper","manuf","black","lwage","y81","y82","y83","y84","y85","y86","y87","inlf","expersq","lwage_1","inlf_1","inlfp1"
"1",4,81,NA,9,0,0,1,NA,1,0,0,0,0,0,0,0,0,NA,NA,1
"2",4,82,NA,9,0,0,1,NA,0,1,0,0,0,0,0,0,0,NA,1,0
"3",4,83,NA,9,0,0,1,NA,0,0,1,0,0,0,0,0,0,NA,0,0
"4",4,84,NA,9,0,0,1,NA,0,0,0,1,0,0,0,0,0,NA,0,0
"5",4,85,NA,9,0,0,1,NA,0,0,0,0,1,0,0,0,0,NA,0,0
"6",4,86,NA,9,0,0,1,NA,0,0,0,0,0,1,0,0,0,NA,0,0
"7",4,87,6093.60009765625,9,0,0,1,8.71499443054199,0,0,0,0,0,0,1,1,0,NA,0,NA
"8",6,81,NA,8,1,0,1,NA,1,0,0,0,0,0,0,0,1,NA,NA,0
"9",6,82,10848.16015625,8,1,0,1,9.29175090789795,0,1,0,0,0,0,0,1,1,9.84701919555664,1,0
"10",6,83,16684.01953125,8,2,0,1,9.72220706939697,0,0,1,0,0,0,0,1,4,NA,0,1
"11",6,84,18901.9296875,8,3,0,1,9.84701919555664,0,0,0,1,0,0,0,1,9,9.72220706939697,0,1
"12",6,85,NA,8,4,0,1,NA,0,0,0,0,1,0,0,0,16,8.71499443054199,0,0
"13",6,86,NA,8,4,0,1,NA,0,0,0,0,0,1,0,0,16,NA,0,0
"14",6,87,NA,8,4,0,1,NA,0,0,0,0,0,0,1,0,16,NA,0,NA
"15",7,81,NA,10,1,0,1,NA,1,0,0,0,0,0,0,0,1,NA,NA,1
"16",7,82,NA,10,1,0,1,NA,0,1,0,0,0,0,0,0,1,9.29175090789795,0,0
"17",7,83,NA,10,1,0,1,NA,0,0,1,0,0,0,0,0,1,NA,0,0
"18",7,84,NA,10,1,0,1,NA,0,0,0,1,0,0,0,0,1,NA,0,0
"19",7,85,13190.330078125,10,1,0,1,9.48723888397217,0,0,0,0,1,0,0,1,1,9.71562576293945,1,1
"20",7,86,12844.8603515625,10,2,1,1,9.4606990814209,0,0,0,0,0,1,0,1,4,9.48723888397217,1,1
