"","id","pyears","prftshr","choice","female","married","age","educ","finc25","finc35","finc50","finc75","finc100","finc101","wealth89","black","stckin89","irain89","pctstck"
"1",38,1,0,1,0,1,64,12,0,0,1,0,0,0,77.9000015258789,0,1,1,0
"2",152,6,1,1,1,1,56,13,0,0,0,1,0,0,154.899993896484,0,1,1,50
"3",152,25,1,1,0,1,56,12,0,0,0,1,0,0,154.899993896484,0,1,1,50
"4",182,20,1,0,1,1,63,12,1,0,0,0,0,0,232.5,0,1,1,100
"5",222,35,0,1,0,1,67,12,0,1,0,0,0,0,179,0,0,1,100
"6",226,13,1,0,0,1,64,11,0,0,0,1,0,0,120.025001525879,0,1,0,0
"7",233,2,0,1,1,1,64,12,1,0,0,0,0,0,52,0,0,1,100
"8",233,10,1,0,1,1,64,12,1,0,0,0,0,0,52,0,0,1,100
"9",253,26,0,0,1,1,69,12,0,1,0,0,0,0,0,0,0,0,50
"10",314,5,0,1,0,1,60,14,0,0,0,0,0,1,183.649993896484,0,1,1,50
"11",364,NA,NA,0,0,1,70,12,NA,NA,NA,NA,NA,NA,145,0,0,0,50
"12",398,1,1,1,1,1,59,12,0,0,0,0,1,0,458,0,1,1,100
"13",402,8,1,0,1,0,56,12,0,0,1,0,0,0,203,0,1,0,100
"14",441,2,NA,1,1,0,60,16,0,0,0,1,0,0,396.5,0,0,1,0
"15",450,7,0,1,0,1,63,14,0,0,0,0,0,1,913,0,0,0,50
"16",460,40,0,0,1,1,67,12,0,0,0,0,1,0,292,0,0,1,100
"17",460,18,0,1,0,1,69,16,0,0,0,0,1,0,292,0,0,1,0
"18",490,2,0,1,1,1,58,12,0,1,0,0,0,0,147.899993896484,0,0,0,50
"19",490,2,0,1,1,1,58,12,0,1,0,0,0,0,147.899993896484,0,0,0,50
"20",500,20,0,1,0,1,61,18,0,0,0,0,1,0,295.5,0,1,1,0
"21",503,24,0,1,0,1,62,12,0,0,0,1,0,0,224.199996948242,0,0,1,100
"22",505,35,NA,1,0,1,66,13,0,1,0,0,0,0,472,0,0,1,0
"23",515,5,0,0,1,1,59,16,0,0,1,0,0,0,254.899993896484,0,1,1,100
"24",530,12,0,0,1,1,55,12,0,0,0,0,1,0,90.1999969482422,0,0,1,50
"25",541,7,0,0,0,1,68,13,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"26",587,15,0,1,0,1,65,18,0,0,0,0,0,1,340,0,0,0,0
"27",589,10,0,1,1,0,57,12,0,1,0,0,0,0,188.5,0,0,0,100
"28",614,9,0,0,1,0,69,12,0,0,0,0,0,0,15,1,0,0,100
"29",626,9,0,1,1,1,59,12,0,1,0,0,0,0,172,1,1,1,50
"30",658,24,NA,1,1,0,60,14,1,0,0,0,0,0,-39.9500007629395,1,0,0,0
"31",719,5,0,0,1,0,57,16,NA,NA,NA,NA,NA,NA,175,0,1,0,50
"32",719,5,0,0,1,0,57,16,NA,NA,NA,NA,NA,NA,175,0,1,0,50
"33",726,16,NA,1,1,0,63,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"34",734,10,0,0,1,0,63,16,1,0,0,0,0,0,206,1,0,0,0
"35",787,20,0,0,1,0,56,18,0,0,0,0,0,1,441,0,1,0,50
"36",811,12,1,1,1,0,57,NA,0,0,1,0,0,0,0,1,0,0,0
"37",872,2,0,1,1,1,56,NA,0,0,0,0,0,1,0,0,0,0,50
"38",888,10,0,0,1,1,63,12,0,0,1,0,0,0,219.550003051758,0,0,1,50
"39",888,10,0,0,0,1,67,12,0,0,1,0,0,0,219.550003051758,0,0,1,0
"40",910,6,0,0,1,0,55,14,0,1,0,0,0,0,142,1,0,0,0
"41",910,17,0,1,1,0,55,14,0,1,0,0,0,0,142,1,0,0,100
"42",953,20,0,1,0,1,68,12,0,0,1,0,0,0,672.200012207031,0,1,1,0
"43",953,6,0,1,0,1,68,12,0,0,1,0,0,0,672.200012207031,0,1,1,50
"44",968,6,NA,1,1,1,62,NA,0,0,1,0,0,0,0,0,0,0,0
"45",977,2,0,1,1,1,60,NA,0,0,1,0,0,0,0,0,0,0,0
